what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1296148296234
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1296148296234
java.runtime.version,sysinfo,,,"1.6.0_22-b04-307-10M3261",1296148296235
java.specification.name,sysinfo,,,"Java Platform API Specification",1296148296235
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1296148296235
java.specification.version,sysinfo,,,"1.6",1296148296235
java.vendor,sysinfo,,,"Apple Inc.",1296148296235
java.version,sysinfo,,,"1.6.0_22",1296148296235
java.vm.info,sysinfo,,,"mixed mode",1296148296235
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1296148296235
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1296148296235
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1296148296235
java.vm.specification.version,sysinfo,,,"1.0",1296148296235
java.vm.vendor,sysinfo,,,"Apple Inc.",1296148296235
java.vm.version,sysinfo,,,"17.1-b03-307",1296148296235
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1296148299290
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1296148299295
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1296148299307
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296148301159
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296148302204
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296148302281
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1296148302656
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1296148302813
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1296148302829
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1296148302830
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1296148302830
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1296148302830
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1296148302831
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1296148302831
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1296148302849
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1296148302849
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1296148302850
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1296148302850
